テストID,テスト区分,変更概要,入力条件,期待確認内容,確認方法
TC-014,差分,選択肢変更（4件）: t3=0,t3=0: 0（追加された選択肢を確認）,【追加】選択肢「」追加（質問:「t3=0」）、選択肢「」追加（質問:「t3=0」）、選択肢「」追加（質問:「t3=0」）、選択肢「0」追加（質問:「t3=0」）,目視確認（選択肢表示）
TC-015,差分,選択肢変更（16件）: 4wh=1,4wh=1: 1 / 1 / 1 / 1（追加された選択肢を確認）,【追加】選択肢「」追加（質問:「4wh=1」）、選択肢「」追加（質問:「4wh=1」）、選択肢「」追加（質問:「4wh=1」）、選択肢「1」追加（質問:「4wh=1」）、選択肢「」追加（質問:「4wh=1」）、選択肢「」追加（質問:「4wh=1」）、選択肢「」追加（質問:「4wh=1」）、選択肢「1」追加（質問:「4wh=1」）、選択肢「」追加（質問:「4wh=1」）、選択肢「」追加（質問:「4wh=1」）、選択肢「」追加（質問:「4wh=1」）、選択肢「1」追加（質問:「4wh=1」）、選択肢「」追加（質問:「4wh=1」）、選択肢「」追加（質問:「4wh=1」）、選択肢「」追加（質問:「4wh=1」）、選択肢「1」追加（質問:「4wh=1」）,目視確認（選択肢表示）
TC-016,差分,選択肢変更（12件）: N~4wh=1,N~4wh=1: 1 / 1 / 1（追加された選択肢を確認）,【追加】選択肢「」追加（質問:「N~4wh=1」）、選択肢「」追加（質問:「N~4wh=1」）、選択肢「」追加（質問:「N~4wh=1」）、選択肢「1」追加（質問:「N~4wh=1」）、選択肢「」追加（質問:「N~4wh=1」）、選択肢「」追加（質問:「N~4wh=1」）、選択肢「」追加（質問:「N~4wh=1」）、選択肢「1」追加（質問:「N~4wh=1」）、選択肢「」追加（質問:「N~4wh=1」）、選択肢「」追加（質問:「N~4wh=1」）、選択肢「」追加（質問:「N~4wh=1」）、選択肢「1」追加（質問:「N~4wh=1」）,目視確認（選択肢表示）
TC-017,差分,選択肢変更（8件）: c4wh=1,c4wh=1: 1 / 1（追加された選択肢を確認）,【追加】選択肢「」追加（質問:「c4wh=1」）、選択肢「」追加（質問:「c4wh=1」）、選択肢「」追加（質問:「c4wh=1」）、選択肢「1」追加（質問:「c4wh=1」）、選択肢「」追加（質問:「c4wh=1」）、選択肢「」追加（質問:「c4wh=1」）、選択肢「」追加（質問:「c4wh=1」）、選択肢「1」追加（質問:「c4wh=1」）,目視確認（選択肢表示）
TC-018,差分,選択肢変更（8件）: K4Wb=1,K4Wb=1: 1 / 1（追加された選択肢を確認）,【追加】選択肢「」追加（質問:「K4Wb=1」）、選択肢「」追加（質問:「K4Wb=1」）、選択肢「」追加（質問:「K4Wb=1」）、選択肢「1」追加（質問:「K4Wb=1」）、選択肢「」追加（質問:「K4Wb=1」）、選択肢「」追加（質問:「K4Wb=1」）、選択肢「」追加（質問:「K4Wb=1」）、選択肢「1」追加（質問:「K4Wb=1」）,目視確認（選択肢表示）
TC-019,差分,選択肢変更（2件）: 敷材料の種類,敷材料の種類: （表示された選択肢から回答）,【削除】選択肢「砂(クッション用)」削除（質問:「敷材料の種類」）、選択肢「敷材料無し」削除（質問:「敷材料の種類」）,目視確認（選択肢表示）
TC-020,差分,選択肢変更（4件）: 特殊インターロッキングブロック材料の単位選択,特殊インターロッキングブロック材料の単位選択: （表示された選択肢から回答）,【削除】選択肢「」削除（質問:「特殊インターロッキングブロック材料の単位選択」）、選択肢「」削除（質問:「特殊インターロッキングブロック材料の単位選択」）、選択肢「」削除（質問:「特殊インターロッキングブロック材料の単位選択」）、選択肢「1」削除（質問:「特殊インターロッキングブロック材料の単位選択」）,目視確認（選択肢表示）
TC-021,差分,選択肢変更（4件）: 特殊インターロッキングブロックの寸法,特殊インターロッキングブロックの寸法: （表示された選択肢から回答）,【削除】選択肢「」削除（質問:「特殊インターロッキングブロックの寸法」）、選択肢「」削除（質問:「特殊インターロッキングブロックの寸法」）、選択肢「」削除（質問:「特殊インターロッキングブロックの寸法」）、選択肢「2」削除（質問:「特殊インターロッキングブロックの寸法」）,目視確認（選択肢表示）
TC-022,差分,選択肢変更（4件）: 代価表1枚目4行目=SbP,代価表1枚目4行目=SbP: （表示された選択肢から回答）,【削除】選択肢「」削除（質問:「代価表1枚目4行目=SbP」）、選択肢「」削除（質問:「代価表1枚目4行目=SbP」）、選択肢「」削除（質問:「代価表1枚目4行目=SbP」）、選択肢「0」削除（質問:「代価表1枚目4行目=SbP」）,目視確認（選択肢表示）
TC-023,差分,選択肢変更（4件）: 規格選択(補正なし),規格選択(補正なし): （表示された選択肢から回答）,【削除】選択肢「」削除（質問:「規格選択(補正なし)」）、選択肢「」削除（質問:「規格選択(補正なし)」）、選択肢「」削除（質問:「規格選択(補正なし)」）、選択肢「0」削除（質問:「規格選択(補正なし)」）,目視確認（選択肢表示）
TC-024,差分,選択肢変更（4件）: 控除するインターロッキングブロック(T=6cm),控除するインターロッキングブロック(T=6cm): （表示された選択肢から回答）,【削除】選択肢「」削除（質問:「控除するインターロッキングブロック(T=6cm)」）、選択肢「」削除（質問:「控除するインターロッキングブロック(T=6cm)」）、選択肢「」削除（質問:「控除するインターロッキングブロック(T=6cm)」）、選択肢「1」削除（質問:「控除するインターロッキングブロック(T=6cm)」）,目視確認（選択肢表示）
TC-025,差分,選択肢変更（4件）: 規格区分,規格区分: （表示された選択肢から回答）,【削除】選択肢「」削除（質問:「規格区分」）、選択肢「」削除（質問:「規格区分」）、選択肢「」削除（質問:「規格区分」）、選択肢「0」削除（質問:「規格区分」）,目視確認（選択肢表示）
TC-026,差分,選択肢変更（4件）: 代価表1枚目1行目=S_PRC,代価表1枚目1行目=S_PRC: （表示された選択肢から回答）,【削除】選択肢「」削除（質問:「代価表1枚目1行目=S_PRC」）、選択肢「」削除（質問:「代価表1枚目1行目=S_PRC」）、選択肢「」削除（質問:「代価表1枚目1行目=S_PRC」）、選択肢「0」削除（質問:「代価表1枚目1行目=S_PRC」）,目視確認（選択肢表示）
TC-027,差分,選択肢変更（4件）: S_PRC=代価表1枚目単価1行目,S_PRC=代価表1枚目単価1行目: （表示された選択肢から回答）,【削除】選択肢「」削除（質問:「S_PRC=代価表1枚目単価1行目」）、選択肢「」削除（質問:「S_PRC=代価表1枚目単価1行目」）、選択肢「」削除（質問:「S_PRC=代価表1枚目単価1行目」）、選択肢「1」削除（質問:「S_PRC=代価表1枚目単価1行目」）,目視確認（選択肢表示）
TC-028,差分,選択肢変更（4件）: SPRBK=代価表1枚目単価2行目,SPRBK=代価表1枚目単価2行目: （表示された選択肢から回答）,【削除】選択肢「」削除（質問:「SPRBK=代価表1枚目単価2行目」）、選択肢「」削除（質問:「SPRBK=代価表1枚目単価2行目」）、選択肢「」削除（質問:「SPRBK=代価表1枚目単価2行目」）、選択肢「1」削除（質問:「SPRBK=代価表1枚目単価2行目」）,目視確認（選択肢表示）
TC-029,差分,選択肢変更（4件）: SQUBK=代価表1枚目数量2行目,SQUBK=代価表1枚目数量2行目: （表示された選択肢から回答）,【削除】選択肢「」削除（質問:「SQUBK=代価表1枚目数量2行目」）、選択肢「」削除（質問:「SQUBK=代価表1枚目数量2行目」）、選択肢「」削除（質問:「SQUBK=代価表1枚目数量2行目」）、選択肢「1」削除（質問:「SQUBK=代価表1枚目数量2行目」）,目視確認（選択肢表示）
TC-030,差分,選択肢変更（4件）: S_PRD=代価表1枚目単価2行目,S_PRD=代価表1枚目単価2行目: （表示された選択肢から回答）,【削除】選択肢「」削除（質問:「S_PRD=代価表1枚目単価2行目」）、選択肢「」削除（質問:「S_PRD=代価表1枚目単価2行目」）、選択肢「」削除（質問:「S_PRD=代価表1枚目単価2行目」）、選択肢「1」削除（質問:「S_PRD=代価表1枚目単価2行目」）,目視確認（選択肢表示）
TC-031,差分,選択肢変更（4件）: 交替制による週休2日補正適用,交替制による週休2日補正適用: （表示された選択肢から回答）,【削除】選択肢「」削除（質問:「交替制による週休2日補正適用」）、選択肢「」削除（質問:「交替制による週休2日補正適用」）、選択肢「」削除（質問:「交替制による週休2日補正適用」）、選択肢「1」削除（質問:「交替制による週休2日補正適用」）,目視確認（選択肢表示）
TC-032,差分,選択肢変更（4件）: 省庁判定,省庁判定: （表示された選択肢から回答）,【削除】選択肢「」削除（質問:「省庁判定」）、選択肢「」削除（質問:「省庁判定」）、選択肢「」削除（質問:「省庁判定」）、選択肢「1」削除（質問:「省庁判定」）,目視確認（選択肢表示）
TC-033,差分,選択肢変更（4件）: 歩掛区分,歩掛区分: （表示された選択肢から回答）,【削除】選択肢「」削除（質問:「歩掛区分」）、選択肢「」削除（質問:「歩掛区分」）、選択肢「」削除（質問:「歩掛区分」）、選択肢「1」削除（質問:「歩掛区分」）,目視確認（選択肢表示）
TC-034,差分,選択肢変更（12件）: 週休2日補正の選択,週休2日補正の選択: （表示された選択肢から回答）,【削除】選択肢「」削除（質問:「週休2日補正の選択」）、選択肢「」削除（質問:「週休2日補正の選択」）、選択肢「」削除（質問:「週休2日補正の選択」）、選択肢「1」削除（質問:「週休2日補正の選択」）、選択肢「」削除（質問:「週休2日補正の選択」）、選択肢「」削除（質問:「週休2日補正の選択」）、選択肢「」削除（質問:「週休2日補正の選択」）、選択肢「1」削除（質問:「週休2日補正の選択」）、選択肢「」削除（質問:「週休2日補正の選択」）、選択肢「」削除（質問:「週休2日補正の選択」）、選択肢「」削除（質問:「週休2日補正の選択」）、選択肢「1」削除（質問:「週休2日補正の選択」）,目視確認（選択肢表示）
TC-035,差分,選択肢変更（4件）: 発注区分による週休2日補正の適用,発注区分による週休2日補正の適用: （表示された選択肢から回答）,【削除】選択肢「」削除（質問:「発注区分による週休2日補正の適用」）、選択肢「」削除（質問:「発注区分による週休2日補正の適用」）、選択肢「」削除（質問:「発注区分による週休2日補正の適用」）、選択肢「1」削除（質問:「発注区分による週休2日補正の適用」）,目視確認（選択肢表示）
TC-036,差分,選択肢変更（4件）: 動作分岐,動作分岐: （表示された選択肢から回答）,【削除】選択肢「」削除（質問:「動作分岐」）、選択肢「」削除（質問:「動作分岐」）、選択肢「」削除（質問:「動作分岐」）、選択肢「1」削除（質問:「動作分岐」）,目視確認（選択肢表示）
TC-037,差分,選択肢変更（4件）: 農水省旧週休2日補正選択判定,農水省旧週休2日補正選択判定: （表示された選択肢から回答）,【削除】選択肢「」削除（質問:「農水省旧週休2日補正選択判定」）、選択肢「」削除（質問:「農水省旧週休2日補正選択判定」）、選択肢「」削除（質問:「農水省旧週休2日補正選択判定」）、選択肢「1」削除（質問:「農水省旧週休2日補正選択判定」）,目視確認（選択肢表示）
TC-038,差分,質問変更（176件）,変更された項目を含む操作を実施して確認,"以下の変更が正しく反映されていること:
・質問「省庁区分」表示名変更: 質問の表示名が「省庁区分」になっていること
・質問「敷材料の種類」表示名変更: 質問の表示名が「敷材料の種類」になっていること
・質問「工種区分」表示名変更: 質問の表示名が「工種区分」になっていること
・質問「工種区分」表示名変更: 質問の表示名が「工種区分」になっていること
・質問「作業区分分岐」表示名変更: 質問の表示名が「作業区分分岐」になっていること
・質問「作業区分」表示名変更: 質問の表示名が「作業区分」になっていること
・質問「作業区分」表示名変更: 質問の表示名が「作業区分」になっていること
・質問「再設置作業区分」表示名変更: 質問の表示名が「再設置作業区分」になっていること
・質問「再設置作業区分」表示名変更: 質問の表示名が「再設置作業区分」になっていること
・質問「再設置作業区分」表示名変更: 質問の表示名が「再設置作業区分」になっていること
・質問「控除単価の金額判定」表示名変更: 質問の表示名が「控除単価の金額判定」になっていること
・質問「規格区分」表示名変更: 質問の表示名が「規格区分」になっていること
・質問「控除単価の金額判定」表示名変更: 質問の表示名が「控除単価の金額判定」になっていること
・質問「施工規模選択区分」表示名変更: 質問の表示名が「施工規模選択区分」になっていること
・質問「再使用時の施工規模による加算」表示名変更: 質問の表示名が「再使用時の施工規模による加算」になっていること
・質問「再使用時の時間的制約を受ける場合の補正」表示名変更: 質問の表示名が「再使用時の時間的制約を受ける場合の補正」になっていること
・質問「再使用時の夜間作業補正」表示名変更: 質問の表示名が「再使用時の夜間作業補正」になっていること
・質問「撤去時の施工規模による加算」表示名変更: 質問の表示名が「撤去時の施工規模による加算」になっていること
・質問「撤去時の時間的制約を受ける場合の補正」表示名変更: 質問の表示名が「撤去時の時間的制約を受ける場合の補正」になっていること
・質問「控除単価(ロス分)の金額判定」表示名変更: 質問の表示名が「控除単価(ロス分)の金額判定」になっていること
（他156件）",目視確認（質問・選択肢表示）
TC-039,差分,質問削除（21件）,削除された項目の操作経路を確認,"以下が削除されていること:
・質問「空練りモルタル材料計上区分」削除
・質問「空練りモルタル(普通)」削除
・質問「モルタル練工」削除
・質問「空練りモルタル(高炉)」削除
・質問「年度切替用」削除
・質問「省庁区分」削除
・質問「敷材料の種類」削除
・質問「週休2日補正有無」削除
・質問「システム分岐」削除
・質問「週休2日補正の選択」削除
・質問「週休2日補正の適用区分」削除
・質問「発注区分による週休2日補正の適用」削除
・質問「K4W=1」削除
・質問「終点」削除
・質問「K4Wb=1」削除
・質問「4wh=1」削除
・質問「N~4wh=1」削除
・質問「交替制による週休2日補正適用」削除
・質問「c4wh=1」削除",目視確認（質問・選択肢表示）
TC-040,差分,フロー変更（76件）,変更された項目を含む操作を実施して確認,"以下の変更が正しく反映されていること:
・フロー「週休2日補正有無」変更（BoxNo:1）: 「週休2日補正有無」の遷移先が正しいこと
・フロー「システム分岐」変更（BoxNo:3）: 「システム分岐」の遷移先が正しいこと
・フロー「週休2日補正の選択」変更（BoxNo:5）: 「週休2日補正の選択」の遷移先が正しいこと
・フロー「週休2日補正の選択」変更（BoxNo:6）: 「週休2日補正の選択」の遷移先が正しいこと
・フロー「週休2日補正の適用区分」変更（BoxNo:11）: 「週休2日補正の適用区分」の遷移先が正しいこと
・フロー「発注区分による週休2日補正の適用」変更（BoxNo:12）: 「発注区分による週休2日補正の適用」の遷移先が正しいこと
・フロー「K4W=1」変更（BoxNo:15）: 「K4W=1」の遷移先が正しいこと
・フロー「終点」変更（BoxNo:17）: 「終点」の遷移先が正しいこと
・フロー「K4Wb=1」変更（BoxNo:23）: 「K4Wb=1」の遷移先が正しいこと
・フロー「4wh=1」変更（BoxNo:25）: 「4wh=1」の遷移先が正しいこと
・フロー「N~4wh=1」変更（BoxNo:26）: 「N~4wh=1」の遷移先が正しいこと
・フロー「交替制による週休2日補正適用」変更（BoxNo:28）: 「交替制による週休2日補正適用」の遷移先が正しいこと
・フロー「c4wh=1」変更（BoxNo:39）: 「c4wh=1」の遷移先が正しいこと
・フロー「動作分岐」変更（BoxNo:47）: 「動作分岐」の遷移先が正しいこと
・フロー「週休2日補正の選択」変更（BoxNo:48）: 「週休2日補正の選択」の遷移先が正しいこと
・フロー「農水省旧週休2日補正選択判定」変更（BoxNo:49）: 「農水省旧週休2日補正選択判定」の遷移先が正しいこと
・フロー「歩掛区分」変更（BoxNo:61）: 「歩掛区分」の遷移先が正しいこと
・フロー「農水省旧週休2日補正選択判定」変更（BoxNo:62）: 「農水省旧週休2日補正選択判定」の遷移先が正しいこと
・フロー「特殊インターロッキングブロック材料の単位選択」変更（BoxNo:65）: 「特殊インターロッキングブロック材料の単位選択」の遷移先が正しいこと
・フロー「特殊インターロッキングブロックの寸法」変更（BoxNo:67）: 「特殊インターロッキングブロックの寸法」の遷移先が正しいこと
（他56件）",フロー遷移確認
TC-041,差分,フロー削除（24件）,削除された項目の操作経路を確認,"以下が削除されていること:
・フロー「zfg=1」削除（BoxNo:59）
・フロー「zfg=2」削除（BoxNo:60）
・フロー「モルタル練工」削除（BoxNo:68）
・フロー「年度切替用」削除（BoxNo:109）
・フロー「省庁区分」削除（BoxNo:111）
・フロー「敷材料の種類」削除（BoxNo:112）
・フロー「BoxNo:113」削除（BoxNo:113）
・フロー「再生砂」削除（BoxNo:114）
・フロー「砂(クッション用)」削除（BoxNo:127）
・フロー「年度切替用」削除（BoxNo:128）
・フロー「zfg=0」削除（BoxNo:130）
・フロー「BoxNo:151」削除（BoxNo:151）
・フロー「BoxNo:152」削除（BoxNo:152）
・フロー「BoxNo:153」削除（BoxNo:153）
・フロー「BoxNo:157」削除（BoxNo:157）
・フロー「BoxNo:158」削除（BoxNo:158）
・フロー「BoxNo:160」削除（BoxNo:160）
・フロー「zfg=0」削除（BoxNo:164）
・フロー「K=0」削除（BoxNo:165）
・フロー「BoxNo:280」削除（BoxNo:280）
（他4件）",フロー遷移確認
TC-042,回帰,既存パスへの影響なし確認,4wh=1: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-043,回帰,既存パスへの影響なし確認,BoxNo:108: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-044,回帰,既存パスへの影響なし確認,BoxNo:110: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-045,回帰,既存パスへの影響なし確認,BoxNo:123: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-046,回帰,既存パスへの影響なし確認,BoxNo:168: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-047,回帰,既存パスへの影響なし確認,K4W=1: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-048,回帰,既存パスへの影響なし確認,K4Wb=1: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-049,回帰,既存パスへの影響なし確認,K=0: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-050,回帰,既存パスへの影響なし確認,N~4wh=1: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-051,回帰,既存パスへの影響なし確認,SPRAK=代価表1枚目単価1行目: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-052,回帰,既存パスへの影響なし確認,SPRBK=代価表1枚目単価2行目: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-053,回帰,既存パスへの影響なし確認,SQUAK=代価表1枚目数量1行目: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-054,回帰,既存パスへの影響なし確認,SQUBK=代価表1枚目数量2行目: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-055,回帰,既存パスへの影響なし確認,S_PRC=代価表1枚目単価1行目: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-056,回帰,既存パスへの影響なし確認,S_PRD=代価表1枚目単価2行目: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-057,回帰,既存パスへの影響なし確認,S_QUA=代価表1枚目数量1行目: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-058,回帰,既存パスへの影響なし確認,S_QUB=代価表1枚目数量2行目: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-059,回帰,既存パスへの影響なし確認,c4wh=1: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-060,回帰,既存パスへの影響なし確認,t2=0: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-061,回帰,既存パスへの影響なし確認,t3=0: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-062,回帰,既存パスへの影響なし確認,t=0: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-063,回帰,既存パスへの影響なし確認,システム分岐: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-064,回帰,既存パスへの影響なし確認,フロー切替:市場単価週休2日補正(変数複数)補正単価: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-065,回帰,既存パスへの影響なし確認,フロー切替:市場単価週休2日補正(補正済み単価なし): （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-066,回帰,既存パスへの影響なし確認,フロー切替:週休2日補正(変数複数)(補正済み単価あり): （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-067,回帰,既存パスへの影響なし確認,フロー切替:週休2日補正(補正済み単価あり): （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-068,回帰,既存パスへの影響なし確認,交替制による週休2日補正適用: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
