テストID,テスト区分,変更概要,入力条件,期待確認内容,確認方法
TC-013,差分,選択肢変更（4件）: 代価表1枚目5行目=lease,代価表1枚目5行目=lease: （表示された選択肢から回答）,【削除】選択肢「」削除（質問:「代価表1枚目5行目=lease」）、選択肢「」削除（質問:「代価表1枚目5行目=lease」）、選択肢「」削除（質問:「代価表1枚目5行目=lease」）、選択肢「0」削除（質問:「代価表1枚目5行目=lease」）,目視確認（選択肢表示）
TC-014,差分,質問追加（1件）,追加された項目を含む操作を実施して確認,"以下が新規追加されていること:
・質問「A=10」新規追加",目視確認（質問・選択肢表示）
TC-015,差分,質問変更（24件）,変更された項目を含む操作を実施して確認,"以下の変更が正しく反映されていること:
・質問「施工歩掛(バックホウ施工)」表示名変更: 質問の表示名が「施工歩掛(バックホウ施工)」になっていること
・質問「(超低・後方バックホウ)排ガス機械の選択」表示名変更: 質問の表示名が「(超低・後方バックホウ)排ガス機械の選択」になっていること
・質問「A=10」表示名変更: 質問の表示名が「A=10」になっていること
・質問「A=0」表示名変更: 質問の表示名が「A=0」になっていること
・質問「AT=当り数量」表示名変更: 質問の表示名が「AT=当り数量」になっていること
・質問「1=代価表1枚目4行目」表示名変更: 質問の表示名が「1=代価表1枚目4行目」になっていること
・質問「0=代価表1枚目4行目」表示名変更: 質問の表示名が「0=代価表1枚目4行目」になっていること
・質問「NFG1=1」表示名変更: 質問の表示名が「NFG1=1」になっていること
・質問「NFG1=2」表示名変更: 質問の表示名が「NFG1=2」になっていること
・質問「終点」表示名変更: 質問の表示名が「終点」になっていること
・質問「NFG1=1」表示名変更: 質問の表示名が「NFG1=1」になっていること
・質問「NFG1=2」表示名変更: 質問の表示名が「NFG1=2」になっていること
・質問「Nleas=代価表1枚目数量5行目」表示名変更: 質問の表示名が「Nleas=代価表1枚目数量5行目」になっていること
・質問「砕石」表示名変更: 質問の表示名が「砕石」になっていること
・質問「0.4=代価表1枚目6行目」表示名変更: 質問の表示名が「0.4=代価表1枚目6行目」になっていること
・質問「0=代価表1枚目6行目」表示名変更: 質問の表示名が「0=代価表1枚目6行目」になっていること
・質問「砂利」表示名変更: 質問の表示名が「砂利」になっていること
・質問「A=0」表示名変更: 質問の表示名が「A=0」になっていること
・質問「Nex=0」表示名変更: 質問の表示名が「Nex=0」になっていること
・質問「代価表1枚目5行目=lease」表示名変更: 質問の表示名が「代価表1枚目5行目=lease」になっていること
（他4件）",目視確認（質問・選択肢表示）
TC-016,差分,フロー追加（1件）,追加された項目を含む操作を実施して確認,"以下が新規追加されていること:
・フロー「(トラッククレーン)賃料長期割引の適用」追加（BoxNo:9）",フロー遷移確認
TC-017,差分,フロー変更（27件）,変更された項目を含む操作を実施して確認,"以下の変更が正しく反映されていること:
・フロー「A=10」変更（BoxNo:6）: 「A=10」の遷移先が正しいこと
・フロー「A=0」変更（BoxNo:7）: 「A=0」の遷移先が正しいこと
・フロー「AT=当り数量」変更（BoxNo:11）: 「AT=当り数量」の遷移先が正しいこと
・フロー「1=代価表1枚目4行目」変更（BoxNo:13）: 「1=代価表1枚目4行目」の遷移先が正しいこと
・フロー「0=代価表1枚目4行目」変更（BoxNo:14）: 「0=代価表1枚目4行目」の遷移先が正しいこと
・フロー「NFG1=1」変更（BoxNo:24）: 「NFG1=1」の遷移先が正しいこと
・フロー「NFG1=2」変更（BoxNo:25）: 「NFG1=2」の遷移先が正しいこと
・フロー「終点」変更（BoxNo:26）: 「終点」の遷移先が正しいこと
・フロー「NFG1=1」変更（BoxNo:27）: 「NFG1=1」の遷移先が正しいこと
・フロー「NFG1=1」変更（BoxNo:28）: 「NFG1=1」の遷移先が正しいこと
・フロー「NFG1=2」変更（BoxNo:29）: 「NFG1=2」の遷移先が正しいこと
・フロー「施工機械区分」変更（BoxNo:32）: 「施工機械区分」の遷移先が正しいこと
・フロー「(超低・後方バックホウ)排ガス機械の選択」変更（BoxNo:33）: 「(超低・後方バックホウ)排ガス機械の選択」の遷移先が正しいこと
・フロー「Nleas=代価表1枚目数量5行目」変更（BoxNo:36）: 「Nleas=代価表1枚目数量5行目」の遷移先が正しいこと
・フロー「砕石」変更（BoxNo:38）: 「砕石」の遷移先が正しいこと
・フロー「0.4=代価表1枚目6行目」変更（BoxNo:39）: 「0.4=代価表1枚目6行目」の遷移先が正しいこと
・フロー「0=代価表1枚目6行目」変更（BoxNo:40）: 「0=代価表1枚目6行目」の遷移先が正しいこと
・フロー「砂利」変更（BoxNo:48）: 「砂利」の遷移先が正しいこと
・フロー「A=0」変更（BoxNo:49）: 「A=0」の遷移先が正しいこと
・フロー「Nex=0」変更（BoxNo:52）: 「Nex=0」の遷移先が正しいこと
（他7件）",フロー遷移確認
TC-018,回帰,既存パスへの影響なし確認,(トラッククレーン)賃料長期割引の適用: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-019,回帰,既存パスへの影響なし確認,(超低・後方バックホウ)排ガス機械の選択: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-020,回帰,既存パスへの影響なし確認,0.4=代価表1枚目6行目: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-021,回帰,既存パスへの影響なし確認,0=代価表1枚目4行目: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-022,回帰,既存パスへの影響なし確認,0=代価表1枚目6行目: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-023,回帰,既存パスへの影響なし確認,1=代価表1枚目4行目: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-024,回帰,既存パスへの影響なし確認,A=0: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-025,回帰,既存パスへの影響なし確認,A=10: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-026,回帰,既存パスへの影響なし確認,A=100: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-027,回帰,既存パスへの影響なし確認,AT=当り数量: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-028,回帰,既存パスへの影響なし確認,NFG1=1: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-029,回帰,既存パスへの影響なし確認,NFG1=2: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-030,回帰,既存パスへの影響なし確認,Nex=0: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-031,回帰,既存パスへの影響なし確認,Nleas=代価表1枚目数量5行目: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-032,回帰,既存パスへの影響なし確認,代価表1枚目5行目=lease: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-033,回帰,既存パスへの影響なし確認,施工機械区分: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-034,回帰,既存パスへの影響なし確認,砂利: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-035,回帰,既存パスへの影響なし確認,砕石: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
TC-036,回帰,既存パスへの影響なし確認,終点: （表示された選択肢から回答）,旧バージョンと同じ結果になること,計算値確認
