提案ID,テスト区分,根拠カテゴリ,根拠ID,差分概要,テスト軸,入力値,期待確認内容,備考
P-015,差分,質問,質問No:46,質問「終点」表示名変更,終点,任意,質問の表示名が「終点」になっていること,表示名変更: 「NFG1=1」→「終点」
P-016,差分,質問,質問No:48,質問「NFG1=1」表示名変更,NFG1=1,任意,質問の表示名が「NFG1=1」になっていること,表示名変更: 「NFG1=2」→「NFG1=1」
P-017,差分,質問,質問No:49,質問「NFG1=2」表示名変更,NFG1=2,任意,質問の表示名が「NFG1=2」になっていること,表示名変更: 「Nleas=代価表1枚目数量5行目」→「NFG1=2」
P-018,差分,質問,質問No:50,質問「Nleas=代価表1枚目数量5行目」表示名変更,Nleas=代価表1枚目数量5行目,任意,質問の表示名が「Nleas=代価表1枚目数量5行目」になっていること,表示名変更: 「砕石」→「Nleas=代価表1枚目数量5行目」
P-019,差分,質問,質問No:51,質問「砕石」表示名変更,砕石,任意,質問の表示名が「砕石」になっていること,表示名変更: 「0.7=代価表1枚目6行目」→「砕石」
P-020,差分,質問,質問No:52,質問「0.4=代価表1枚目6行目」表示名変更,0.4=代価表1枚目6行目,任意,質問の表示名が「0.4=代価表1枚目6行目」になっていること,表示名変更: 「0=代価表1枚目6行目」→「0.4=代価表1枚目6行目」
P-021,差分,質問,質問No:53,質問「0=代価表1枚目6行目」表示名変更,0=代価表1枚目6行目,任意,質問の表示名が「0=代価表1枚目6行目」になっていること,表示名変更: 「砂利」→「0=代価表1枚目6行目」
P-022,差分,質問,質問No:54,質問「砂利」表示名変更,砂利,任意,質問の表示名が「砂利」になっていること,表示名変更: 「A=0」→「砂利」
P-023,差分,質問,質問No:55,質問「A=0」表示名変更,A=0,任意,質問の表示名が「A=0」になっていること,表示名変更: 「Nex=0」→「A=0」
P-024,差分,質問,質問No:56,質問「Nex=0」表示名変更,Nex=0,任意,質問の表示名が「Nex=0」になっていること,表示名変更: 「代価表1枚目5行目=lease」→「Nex=0」
P-025,差分,質問,質問No:57,質問「代価表1枚目5行目=lease」表示名変更,代価表1枚目5行目=lease,任意,質問の表示名が「代価表1枚目5行目=lease」になっていること,表示名変更: 「A=0」→「代価表1枚目5行目=lease」
P-026,差分,質問,質問No:58,質問「A=0」表示名変更,A=0,任意,質問の表示名が「A=0」になっていること,表示名変更: 「A=100」→「A=0」
P-027,差分,質問,質問No:59,質問「A=100」表示名変更,A=100,任意,質問の表示名が「A=100」になっていること,表示名変更: 「A=0」→「A=100」
P-028,差分,質問,質問No:60,質問「A=0」表示名変更,A=0,任意,質問の表示名が「A=0」になっていること,表示名変更: 「A=100」→「A=0」
P-029,差分,質問,質問No:61,質問「A=100」表示名変更,A=100,任意,質問の表示名が「A=100」になっていること,表示名変更: 「A=10」→「A=100」
P-030,差分,質問,質問No:63,質問「A=10」新規追加,A=10,10,「10」を選択したとき正しく動作すること,新規追加質問の各選択肢を確認
P-031,差分,質問設定,質問No:13,質問設定「バックホウ運転費 送り変数:FG1」変更,任意,任意,「バックホウ運転費 送り変数:FG1」の設定変更が計算結果に正しく反映されること,送り変数変更: 親:FG1→子:FG1→親:FG~01→子:FG1
P-032,差分,選択肢,質問No:38,選択肢「66」追加（質問:「(超低・後方バックホウ)排ガス機械の選択」）,(超低・後方バックホウ)排ガス機械の選択,66,「66」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-033,差分,選択肢,質問No:40,選択肢「」追加（質問:「A=0」）,A=0,,「」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-034,差分,選択肢,質問No:40,選択肢「」追加（質問:「A=0」）,A=0,,「」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-035,差分,選択肢,質問No:40,選択肢「」追加（質問:「A=0」）,A=0,,「」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-036,差分,選択肢,質問No:40,選択肢「0」追加（質問:「A=0」）,A=0,0,「0」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-037,差分,選択肢,質問No:45,選択肢「」追加（質問:「NFG1=2」）,NFG1=2,,「」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-038,差分,選択肢,質問No:45,選択肢「」追加（質問:「NFG1=2」）,NFG1=2,,「」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-039,差分,選択肢,質問No:45,選択肢「」追加（質問:「NFG1=2」）,NFG1=2,,「」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-040,差分,選択肢,質問No:45,選択肢「2」追加（質問:「NFG1=2」）,NFG1=2,2,「2」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-041,差分,選択肢,質問No:49,選択肢「」追加（質問:「NFG1=2」）,NFG1=2,,「」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-042,差分,選択肢,質問No:49,選択肢「」追加（質問:「NFG1=2」）,NFG1=2,,「」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-043,差分,選択肢,質問No:49,選択肢「」追加（質問:「NFG1=2」）,NFG1=2,,「」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-044,差分,選択肢,質問No:49,選択肢「2」追加（質問:「NFG1=2」）,NFG1=2,2,「2」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-045,差分,選択肢,質問No:53,選択肢「」追加（質問:「0=代価表1枚目6行目」）,0=代価表1枚目6行目,,「」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-046,差分,選択肢,質問No:53,選択肢「」追加（質問:「0=代価表1枚目6行目」）,0=代価表1枚目6行目,,「」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-047,差分,選択肢,質問No:53,選択肢「」追加（質問:「0=代価表1枚目6行目」）,0=代価表1枚目6行目,,「」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-048,差分,選択肢,質問No:53,選択肢「0」追加（質問:「0=代価表1枚目6行目」）,0=代価表1枚目6行目,0,「0」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-049,差分,選択肢,質問No:56,選択肢「」追加（質問:「Nex=0」）,Nex=0,,「」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-050,差分,選択肢,質問No:56,選択肢「」追加（質問:「Nex=0」）,Nex=0,,「」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-051,差分,選択肢,質問No:56,選択肢「」追加（質問:「Nex=0」）,Nex=0,,「」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-052,差分,選択肢,質問No:56,選択肢「0」追加（質問:「Nex=0」）,Nex=0,0,「0」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-053,差分,選択肢,質問No:41,選択肢「」削除（質問:「AT=当り数量」）,AT=当り数量,任意,「」が選択肢に表示されないこと,削除選択肢の非表示確認
P-054,差分,選択肢,質問No:41,選択肢「」削除（質問:「AT=当り数量」）,AT=当り数量,任意,「」が選択肢に表示されないこと,削除選択肢の非表示確認
P-055,差分,選択肢,質問No:41,選択肢「」削除（質問:「AT=当り数量」）,AT=当り数量,任意,「」が選択肢に表示されないこと,削除選択肢の非表示確認
P-056,差分,選択肢,質問No:41,選択肢「1」削除（質問:「AT=当り数量」）,AT=当り数量,任意,「1」が選択肢に表示されないこと,削除選択肢の非表示確認
P-057,差分,選択肢,質問No:46,選択肢「」削除（質問:「終点」）,終点,任意,「」が選択肢に表示されないこと,削除選択肢の非表示確認
P-058,差分,選択肢,質問No:46,選択肢「」削除（質問:「終点」）,終点,任意,「」が選択肢に表示されないこと,削除選択肢の非表示確認
P-059,差分,選択肢,質問No:46,選択肢「」削除（質問:「終点」）,終点,任意,「」が選択肢に表示されないこと,削除選択肢の非表示確認
P-060,差分,選択肢,質問No:46,選択肢「1」削除（質問:「終点」）,終点,任意,「1」が選択肢に表示されないこと,削除選択肢の非表示確認
P-061,差分,選択肢,質問No:51,選択肢「」削除（質問:「砕石」）,砕石,任意,「」が選択肢に表示されないこと,削除選択肢の非表示確認
P-062,差分,選択肢,質問No:51,選択肢「」削除（質問:「砕石」）,砕石,任意,「」が選択肢に表示されないこと,削除選択肢の非表示確認
P-063,差分,選択肢,質問No:51,選択肢「」削除（質問:「砕石」）,砕石,任意,「」が選択肢に表示されないこと,削除選択肢の非表示確認
P-064,差分,選択肢,質問No:51,選択肢「0.7」削除（質問:「砕石」）,砕石,任意,「0.7」が選択肢に表示されないこと,削除選択肢の非表示確認
P-065,差分,選択肢,質問No:54,選択肢「」削除（質問:「砂利」）,砂利,任意,「」が選択肢に表示されないこと,削除選択肢の非表示確認
P-066,差分,選択肢,質問No:54,選択肢「」削除（質問:「砂利」）,砂利,任意,「」が選択肢に表示されないこと,削除選択肢の非表示確認
P-067,差分,選択肢,質問No:54,選択肢「」削除（質問:「砂利」）,砂利,任意,「」が選択肢に表示されないこと,削除選択肢の非表示確認
P-068,差分,選択肢,質問No:54,選択肢「0」削除（質問:「砂利」）,砂利,任意,「0」が選択肢に表示されないこと,削除選択肢の非表示確認
P-069,差分,選択肢,質問No:57,選択肢「」削除（質問:「代価表1枚目5行目=lease」）,代価表1枚目5行目=lease,任意,「」が選択肢に表示されないこと,削除選択肢の非表示確認
P-070,差分,選択肢,質問No:57,選択肢「」削除（質問:「代価表1枚目5行目=lease」）,代価表1枚目5行目=lease,任意,「」が選択肢に表示されないこと,削除選択肢の非表示確認
P-071,差分,選択肢,質問No:57,選択肢「」削除（質問:「代価表1枚目5行目=lease」）,代価表1枚目5行目=lease,任意,「」が選択肢に表示されないこと,削除選択肢の非表示確認
P-072,差分,選択肢,質問No:57,選択肢「0」削除（質問:「代価表1枚目5行目=lease」）,代価表1枚目5行目=lease,任意,「0」が選択肢に表示されないこと,削除選択肢の非表示確認
P-073,差分,フロー,BoxNo:6,フロー「A=10」変更（BoxNo:6）,A=10,（表示された質問に回答）,「A=10」の遷移先が正しいこと,フロー変更: 質問No:38 CallBox:[11]→質問No:39 CallBox:[11]
P-074,差分,フロー,BoxNo:7,フロー「A=0」変更（BoxNo:7）,A=0,（表示された質問に回答）,「A=0」の遷移先が正しいこと,フロー変更: 質問No:39 CallBox:[11]→質問No:40 CallBox:[11]
P-075,差分,フロー,BoxNo:11,フロー「AT=当り数量」変更（BoxNo:11）,AT=当り数量,（表示された質問に回答）,「AT=当り数量」の遷移先が正しいこと,フロー変更: 質問No:40 CallBox:[19]→質問No:41 CallBox:[19]
P-076,差分,フロー,BoxNo:13,フロー「1=代価表1枚目4行目」変更（BoxNo:13）,1=代価表1枚目4行目,（表示された質問に回答）,「1=代価表1枚目4行目」の遷移先が正しいこと,フロー変更: 質問No:41 CallBox:[32]→質問No:42 CallBox:[32]
P-077,差分,フロー,BoxNo:14,フロー「0=代価表1枚目4行目」変更（BoxNo:14）,0=代価表1枚目4行目,（表示された質問に回答）,「0=代価表1枚目4行目」の遷移先が正しいこと,フロー変更: 質問No:42 CallBox:[32]→質問No:43 CallBox:[32]
P-078,差分,フロー,BoxNo:24,フロー「NFG1=1」変更（BoxNo:24）,NFG1=1,（表示された質問に回答）,「NFG1=1」の遷移先が正しいこと,フロー変更: 質問No:43 CallBox:[39]→質問No:44 CallBox:[39]
P-079,差分,フロー,BoxNo:25,フロー「NFG1=2」変更（BoxNo:25）,NFG1=2,（表示された質問に回答）,「NFG1=2」の遷移先が正しいこと,フロー変更: 質問No:44 CallBox:[40]→質問No:45 CallBox:[40]
P-080,差分,フロー,BoxNo:26,フロー「終点」変更（BoxNo:26）,終点,（表示された質問に回答）,「終点」の遷移先が正しいこと,フロー変更: 質問No:45 CallBox:[]→質問No:46 CallBox:[]
P-081,差分,フロー,BoxNo:27,フロー「NFG1=1」変更（BoxNo:27）,NFG1=1,（表示された質問に回答）,「NFG1=1」の遷移先が正しいこと,フロー変更: 質問No:46 CallBox:[40]→質問No:47 CallBox:[40]
P-082,差分,フロー,BoxNo:28,フロー「NFG1=1」変更（BoxNo:28）,NFG1=1,（表示された質問に回答）,「NFG1=1」の遷移先が正しいこと,フロー変更: 質問No:47 CallBox:[39]→質問No:48 CallBox:[39]
P-083,差分,フロー,BoxNo:29,フロー「NFG1=2」変更（BoxNo:29）,NFG1=2,（表示された質問に回答）,「NFG1=2」の遷移先が正しいこと,フロー変更: 質問No:48 CallBox:[39]→質問No:49 CallBox:[39]
P-084,差分,フロー,BoxNo:32,フロー「施工機械区分」変更（BoxNo:32）,施工機械区分,（表示された質問に回答）,「施工機械区分」の遷移先が正しいこと,"フロー変更: 質問No:11 CallBox:[5, 33]→質問No:11 CallBox:[33, 9]"
P-085,差分,フロー,BoxNo:33,フロー「(超低・後方バックホウ)排ガス機械の選択」変更（BoxNo:33）,(超低・後方バックホウ)排ガス機械の選択,（表示された質問に回答）,「(超低・後方バックホウ)排ガス機械の選択」の遷移先が正しいこと,フロー変更: 質問No:6 CallBox:[51]→質問No:38 CallBox:[5]
P-086,差分,フロー,BoxNo:36,フロー「Nleas=代価表1枚目数量5行目」変更（BoxNo:36）,Nleas=代価表1枚目数量5行目,（表示された質問に回答）,「Nleas=代価表1枚目数量5行目」の遷移先が正しいこと,フロー変更: 質問No:49 CallBox:[17]→質問No:50 CallBox:[17]
P-087,差分,フロー,BoxNo:38,フロー「砕石」変更（BoxNo:38）,砕石,（表示された質問に回答）,「砕石」の遷移先が正しいこと,フロー変更: 質問No:50 CallBox:[13]→質問No:51 CallBox:[13]
P-088,差分,フロー,BoxNo:39,フロー「0.4=代価表1枚目6行目」変更（BoxNo:39）,0.4=代価表1枚目6行目,（表示された質問に回答）,「0.4=代価表1枚目6行目」の遷移先が正しいこと,フロー変更: 質問No:51 CallBox:[2]→質問No:52 CallBox:[2]
P-089,差分,フロー,BoxNo:40,フロー「0=代価表1枚目6行目」変更（BoxNo:40）,0=代価表1枚目6行目,（表示された質問に回答）,「0=代価表1枚目6行目」の遷移先が正しいこと,フロー変更: 質問No:52 CallBox:[2]→質問No:53 CallBox:[2]
P-090,差分,フロー,BoxNo:48,フロー「砂利」変更（BoxNo:48）,砂利,（表示された質問に回答）,「砂利」の遷移先が正しいこと,フロー変更: 質問No:53 CallBox:[13]→質問No:54 CallBox:[13]
P-091,差分,フロー,BoxNo:49,フロー「A=0」変更（BoxNo:49）,A=0,（表示された質問に回答）,「A=0」の遷移先が正しいこと,フロー変更: 質問No:54 CallBox:[11]→質問No:55 CallBox:[11]
P-092,差分,フロー,BoxNo:52,フロー「Nex=0」変更（BoxNo:52）,Nex=0,（表示された質問に回答）,「Nex=0」の遷移先が正しいこと,フロー変更: 質問No:55 CallBox:[54]→質問No:56 CallBox:[54]
P-093,差分,フロー,BoxNo:54,フロー「代価表1枚目5行目=lease」変更（BoxNo:54）,代価表1枚目5行目=lease,（表示された質問に回答）,「代価表1枚目5行目=lease」の遷移先が正しいこと,フロー変更: 質問No:56 CallBox:[36]→質問No:57 CallBox:[36]
P-094,差分,フロー,BoxNo:55,フロー「A=0」変更（BoxNo:55）,A=0,（表示された質問に回答）,「A=0」の遷移先が正しいこと,フロー変更: 質問No:57 CallBox:[11]→質問No:58 CallBox:[11]
P-095,差分,フロー,BoxNo:56,フロー「A=100」変更（BoxNo:56）,A=100,（表示された質問に回答）,「A=100」の遷移先が正しいこと,フロー変更: 質問No:58 CallBox:[11]→質問No:59 CallBox:[11]
P-096,差分,フロー,BoxNo:57,フロー「A=0」変更（BoxNo:57）,A=0,（表示された質問に回答）,「A=0」の遷移先が正しいこと,フロー変更: 質問No:59 CallBox:[11]→質問No:60 CallBox:[11]
P-097,差分,フロー,BoxNo:58,フロー「A=100」変更（BoxNo:58）,A=100,（表示された質問に回答）,「A=100」の遷移先が正しいこと,フロー変更: 質問No:60 CallBox:[11]→質問No:61 CallBox:[11]
P-098,差分,フロー,BoxNo:60,フロー「A=10」変更（BoxNo:60）,A=10,（表示された質問に回答）,「A=10」の遷移先が正しいこと,フロー変更: 質問No:61 CallBox:[11]→質問No:62 CallBox:[11]
P-099,差分,フロー,BoxNo:61,フロー「A=10」変更（BoxNo:61）,A=10,（表示された質問に回答）,「A=10」の遷移先が正しいこと,フロー変更: 質問No:62 CallBox:[11]→質問No:63 CallBox:[11]
P-100,差分,フロー,BoxNo:9,フロー「(トラッククレーン)賃料長期割引の適用」追加（BoxNo:9）,(トラッククレーン)賃料長期割引の適用,（表示された質問に回答）,「(トラッククレーン)賃料長期割引の適用」を経由後「(トラッククレーン)賃料深夜割増の適用」へ遷移すること,フロー追加の遷移確認
P-101,回帰,-,-,既存パスへの影響なし確認,(トラッククレーン)賃料長期割引の適用,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-102,回帰,-,-,既存パスへの影響なし確認,(超低・後方バックホウ)排ガス機械の選択,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-103,回帰,-,-,既存パスへの影響なし確認,0.4=代価表1枚目6行目,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-104,回帰,-,-,既存パスへの影響なし確認,0=代価表1枚目4行目,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-105,回帰,-,-,既存パスへの影響なし確認,0=代価表1枚目6行目,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-106,回帰,-,-,既存パスへの影響なし確認,1=代価表1枚目4行目,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-107,回帰,-,-,既存パスへの影響なし確認,A=0,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-108,回帰,-,-,既存パスへの影響なし確認,A=10,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-109,回帰,-,-,既存パスへの影響なし確認,A=100,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-110,回帰,-,-,既存パスへの影響なし確認,AT=当り数量,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-111,回帰,-,-,既存パスへの影響なし確認,NFG1=1,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-112,回帰,-,-,既存パスへの影響なし確認,NFG1=2,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-113,回帰,-,-,既存パスへの影響なし確認,Nex=0,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-114,回帰,-,-,既存パスへの影響なし確認,Nleas=代価表1枚目数量5行目,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-115,回帰,-,-,既存パスへの影響なし確認,代価表1枚目5行目=lease,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-116,回帰,-,-,既存パスへの影響なし確認,施工機械区分,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-117,回帰,-,-,既存パスへの影響なし確認,砂利,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-118,回帰,-,-,既存パスへの影響なし確認,砕石,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-119,回帰,-,-,既存パスへの影響なし確認,終点,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
